Zeit	KanalA	KanalB
43.43999974	227.88170000	227.74440000
43.51999974	227.88170000	232.20010000
43.59999974	227.88170000	232.20010000
43.67999973	227.88170000	232.20010000
43.75999973	227.88170000	232.20010000
43.83999973	227.88170000	227.74440000
43.91999973	232.33740000	232.20010000
43.99999973	227.88170000	232.20010000
44.07999973	232.33740000	227.74440000
44.15999973	227.88170000	227.74440000
44.23999973	227.88170000	227.74440000
44.31999973	232.33740000	232.20010000
44.39999973	232.33740000	232.20010000
44.47999973	227.88170000	232.20010000
44.55999973	232.33740000	232.20010000
44.63999973	227.88170000	232.20010000
44.71999973	232.33740000	232.20010000
44.79999973	227.88170000	232.20010000
44.87999973	227.88170000	232.20010000
44.95999973	227.88170000	232.20010000
45.03999973	227.88170000	232.20010000
45.11999973	227.88170000	232.20010000
45.19999973	227.88170000	227.74440000
45.27999972	232.33740000	232.20010000
45.35999972	227.88170000	227.74440000
45.43999972	227.88170000	232.20010000
45.51999972	227.88170000	232.20010000
45.59999972	227.88170000	232.20010000
45.67999972	227.88170000	232.20010000
45.75999972	232.33740000	232.20010000
45.83999972	227.88170000	232.20010000
45.91999972	227.88170000	236.67100000
45.99999972	227.88170000	227.74440000
46.07999972	227.88170000	232.20010000
46.15999972	227.88170000	232.20010000
46.23999972	227.88170000	232.20010000
46.31999972	227.88170000	227.74440000
46.39999972	227.88170000	232.20010000
46.47999972	227.88170000	227.74440000
46.55999972	232.33740000	232.20010000
46.63999972	227.88170000	232.20010000
46.71999972	232.33740000	232.20010000
46.79999972	227.88170000	227.74440000
46.87999972	227.88170000	227.74440000
46.95999971	227.88170000	227.74440000
47.03999971	232.33740000	232.20010000
47.11999971	227.88170000	227.74440000
47.19999971	227.88170000	232.20010000
47.27999971	227.88170000	227.74440000
47.35999971	232.33740000	232.20010000
47.43999971	227.88170000	232.20010000
47.51999971	227.88170000	232.20010000
47.59999971	227.88170000	227.74440000
47.67999971	227.88170000	227.74440000
47.75999971	232.33740000	232.20010000
47.83999971	232.33740000	232.20010000
47.91999971	232.33740000	232.20010000
47.99999971	232.33740000	232.20010000
48.07999971	232.33740000	232.20010000
48.15999971	227.88170000	232.20010000
48.23999971	227.88170000	232.20010000
48.31999971	227.88170000	232.20010000
48.39999971	227.88170000	227.74440000
48.47999971	232.33740000	232.20010000
48.55999970	227.88170000	227.74440000
48.63999970	227.88170000	232.20010000
48.71999970	227.88170000	232.20010000
48.79999970	232.33740000	232.20010000
48.87999970	227.88170000	232.20010000
48.95999970	227.88170000	232.20010000
